Date,Price,Open,High,Low,Vol.,Change,%
1-Jan-10,23.02,23.02,23.02,23.02,-,0.00%,
4-Jan-10,22.08,23.02,23.02,22.08,-,-4.13%,
5-Jan-10,21.52,22.08,22.33,21.52,-,-2.49%,
6-Jan-10,20.92,21.52,21.67,20.92,-,-2.79%,
7-Jan-10,20.38,20.92,21.23,20.38,-,-2.63%,
8-Jan-10,19.88,20.38,20.73,19.88,-,-2.45%,
11-Jan-10,19.58,19.88,19.98,19.48,-,-1.51%,
12-Jan-10,20.13,19.58,20.83,19.48,-,2.81%,
13-Jan-10,19.38,20.13,20.5,19.33,-,-3.73%,
14-Jan-10,18.92,19.38,19.52,18.92,-,-2.32%,
15-Jan-10,19.63,18.92,20.08,18.92,-,3.70%,
18-Jan-10,19.63,19.63,19.63,19.63,-,0.00%,
19-Jan-10,17.92,19.63,19.63,17.83,-,-8.66%,
21-Jan-10,22.63,21.4,22.8,21.02,-,26.22%,
22-Jan-10,24.73,22.63,25.08,22.63,-,9.28%,
25-Jan-10,24.33,24.73,24.83,23.9,-,-1.62%,
26-Jan-10,24.52,24.33,24.88,23.58,-,0.82%,
27-Jan-10,23.67,24.52,25.4,23.67,-,-3.47%,
28-Jan-10,24.02,23.73,24.85,23.5,-,1.48%,
29-Jan-10,24.63,23.98,24.95,23.23,-,2.50%,
1-Feb-10,23.08,24.65,24.65,23.02,-,-6.29%,
2-Feb-10,22.08,23.02,23.02,21.92,-,-4.33%,
3-Feb-10,22.13,22.38,22.52,21.88,-,0.23%,
4-Feb-10,25.02,22.15,25.02,22.15,-,13.11%,
5-Feb-10,26.08,25.58,27.98,24.92,-,4.20%,
8-Feb-10,26.38,25.58,26.8,25.38,-,1.15%,
9-Feb-10,25.48,26.38,26.4,24.92,-,-3.41%,
10-Feb-10,25.48,25.48,26.42,25.13,-,0.00%,
11-Feb-10,24.45,25.48,26.38,24.15,-,-4.02%,
12-Feb-10,24.42,25.58,25.83,24.42,-,-0.10%,
16-Feb-10,23.55,23.48,24.25,23.27,-,-3.58%,
17-Feb-10,22.73,23.6,23.6,22.73,-,-3.50%,
18-Feb-10,21.77,22.92,23,21.77,-,-4.18%,
19-Feb-10,21.33,22.17,22.3,21.33,-,-2.07%,
22-Feb-10,20.92,21.33,21.77,20.92,-,-1.88%,
23-Feb-10,21.52,20.92,22.38,20.92,-,2.87%,
24-Feb-10,21.08,21.55,21.67,21.08,-,-2.09%,
25-Feb-10,20.9,21.08,22.52,20.9,-,-0.83%,
26-Feb-10,20.38,20.98,21.33,20.38,-,-2.51%,
1-Mar-10,19.98,20.38,20.38,19.85,-,-1.96%,
2-Mar-10,19.77,19.98,20.1,19.73,-,-1.00%,
3-Mar-10,19.63,19.67,20.05,19.58,-,-0.76%,
4-Mar-10,19.58,19.63,20.08,19.48,-,-0.25%,
5-Mar-10,18.52,19.58,19.58,18.42,-,-5.36%,
8-Mar-10,18.33,18.52,18.63,18.17,-,-1.08%,
9-Mar-10,18.52,18.33,18.88,18.27,-,1.09%,
10-Mar-10,18.63,18.5,18.83,18.17,-,0.54%,
11-Mar-10,18.58,18.58,19.42,18.58,-,-0.27%,
12-Mar-10,18.38,18.42,18.88,18.27,-,-1.08%,
15-Mar-10,21.58,21.52,21.9,21.42,-,17.41%,
16-Mar-10,20.88,21.5,21.5,20.88,-,-3.24%,
17-Mar-10,20.13,20.85,20.85,19.98,-,-3.59%,
18-Mar-10,19.77,19.95,20.23,19.77,-,-1.74%,
19-Mar-10,20.08,20.13,20.52,19.98,-,1.52%,
22-Mar-10,19.77,20.08,20.77,19.77,-,-1.49%,
23-Mar-10,19.42,19.88,19.98,19.38,-,-1.77%,
24-Mar-10,19.92,19.73,20.17,19.63,-,2.57%,
25-Mar-10,20.08,19.92,20.13,19.17,-,0.75%,
26-Mar-10,19.88,20.08,20.33,19.67,-,-1.00%,
29-Mar-10,19.48,19.88,19.9,19.42,-,-2.01%,
30-Mar-10,19.08,19.45,19.83,19.08,-,-2.05%,
31-Mar-10,18.92,19.08,19.48,18.9,-,-0.79%,
1-Apr-10,18.88,18.92,19.17,18.17,-,-0.26%,
5-Apr-10,17.92,18.77,18.77,17.92,-,-5.03%,
6-Apr-10,17.38,18.15,18.27,17.35,-,-3.07%,
7-Apr-10,17.88,17.38,18.08,17.38,-,2.88%,
8-Apr-10,17.42,18.08,18.67,17.42,-,-2.52%,
9-Apr-10,17.17,17.38,17.67,17.17,-,-1.43%,
12-Apr-10,17.08,17.23,17.33,16.98,-,-0.58%,
13-Apr-10,17.13,17.2,17.58,17.13,-,0.29%,
14-Apr-10,16.67,16.98,17.13,16.67,-,-2.63%,
15-Apr-10,16.67,16.77,16.92,16.58,-,0.00%,
16-Apr-10,18.17,16.92,19.38,16.83,-,9.00%,
19-Apr-10,17.38,18.42,19.1,17.38,-,-4.40%,
20-Apr-10,15.98,16.88,16.98,15.98,-,-8.06%,
22-Apr-10,18.63,19.33,19.58,18.52,-,16.59%,
23-Apr-10,18.52,18.65,18.83,18.27,-,-0.54%,
26-Apr-10,18.73,18.48,18.88,18.33,-,1.08%,
27-Apr-10,21.08,18.73,21.17,18.73,-,12.55%,
28-Apr-10,20.77,21.02,21.5,20.23,-,-1.42%,
29-Apr-10,19.63,20.77,20.77,19.48,-,-5.54%,
30-Apr-10,21.58,19.83,21.88,19.67,-,9.94%,
3-May-10,20.52,21.58,21.58,20.38,-,-4.87%,
4-May-10,22.92,21.73,23.52,21.73,-,11.69%,
5-May-10,24.13,24.02,25.42,23.02,-,5.23%,
6-May-10,32.08,25.02,35.08,24.08,-,32.95%,
7-May-10,32.88,29.2,34.78,28.02,-,2.49%,
10-May-10,27.42,32.92,32.92,25.02,-,-16.58%,
11-May-10,27.08,28.5,28.52,25.88,-,-1.28%,
12-May-10,25.02,26.6,26.63,24.63,-,-7.57%,
13-May-10,25.83,25.02,26,24.17,-,3.20%,
14-May-10,30.08,25.83,30.92,25.8,-,16.46%,
17-May-10,30.27,29.33,33.25,29.23,-,0.67%,
18-May-10,30.88,28.6,30.9,27.48,-,1.98%,
19-May-10,31.58,31.45,32.83,30.17,-,2.27%,
20-May-10,35.88,34.15,36.92,33.95,-,13.62%,
21-May-10,35.78,35.92,38.2,33.92,-,-0.28%,
24-May-10,35.03,35.72,35.72,33.65,-,-2.10%,
25-May-10,33.72,37.9,38.03,33.17,-,-3.71%,
26-May-10,32.78,33.72,33.72,30.38,-,-2.82%,
27-May-10,29.63,29.8,30.58,29.38,-,-9.61%,
28-May-10,30.38,29.33,30.63,29.2,-,2.53%,
31-May-10,30.38,30.38,30.38,30.38,-,0.00%,
1-Jun-10,32.53,30.38,32.53,29.98,-,7.08%,
2-Jun-10,29.83,31.52,31.83,29.83,-,-8.30%,
3-Jun-10,29.58,29.52,30.15,28.88,-,-0.84%,
4-Jun-10,33.53,29.58,34.05,29.58,-,13.36%,
7-Jun-10,35.47,33.53,35.58,32.72,-,5.82%,
8-Jun-10,33.42,35.47,35.67,33.13,-,-5.78%,
9-Jun-10,33.42,33.42,33.75,30.9,-,0.00%,
10-Jun-10,30.63,33.38,33.38,30.13,-,-8.38%,
11-Jun-10,29.27,31.33,31.38,29.23,-,-4.41%,
14-Jun-10,28.52,28.2,29.05,27.35,-,-2.56%,
15-Jun-10,28.52,27.88,29.42,27.02,-,0.00%,
16-Jun-10,27.77,28.58,28.83,27.77,-,-2.63%,
17-Jun-10,27.17,27.58,28.58,27.17,-,-2.16%,
18-Jun-10,26.83,27.2,27.38,26.35,-,-1.29%,
21-Jun-10,27.08,25.67,27.48,25.58,-,0.93%,
22-Jun-10,28.48,27.08,28.67,27.02,-,5.17%,
23-Jun-10,28.73,28.33,29.83,28.05,-,0.88%,
24-Jun-10,30.63,29.08,31.02,28.88,-,6.61%,
25-Jun-10,29.77,30.4,31,29.77,-,-2.78%,
28-Jun-10,30.13,29.52,30.63,29.38,-,1.18%,
29-Jun-10,33.53,31.77,34.22,31.77,-,11.29%,
30-Jun-10,33.9,33.47,34.1,32.03,-,1.12%,
1-Jul-10,33.33,33.55,35.9,32.97,-,-1.70%,
2-Jul-10,32.1,32.28,32.95,31.38,-,-3.68%,
5-Jul-10,32.08,32.08,32.08,32.08,-,-0.08%,
6-Jul-10,29.77,29.8,31.08,28.83,-,-7.17%,
7-Jul-10,27.52,29.48,29.5,27.52,-,-7.56%,
8-Jul-10,27.02,27.52,27.9,26.73,-,-1.82%,
9-Jul-10,26.52,27.15,27.35,26.33,-,-1.85%,
12-Jul-10,25.83,26.6,26.8,25.83,-,-2.64%,
13-Jul-10,25.77,25.17,25.88,24.83,-,-0.19%,
14-Jul-10,26.63,25.77,27.42,25.77,-,3.30%,
15-Jul-10,26.48,26.63,28.55,26.23,-,-0.56%,
16-Jul-10,28.15,26.48,29.45,26.48,-,6.33%,
